taxon	lineage
PV022113|homo_sapiens|china|2019-01-01	E.6
PV683448|homo_sapiens|myanmar|2019-01-01	E.6
PV683445|homo_sapiens|myanmar|2019-01-01	E.6
MK848202|homo_sapiens|thailand|2018-11-21	E.6
MN974215|homo_sapiens|thailand|2018-06-23	E.6
MN974214|homo_sapiens|thailand|2018-06-20	E.6
MK040571|homo_sapiens|thailand|2018-08-21	E.6
MK040570|homo_sapiens|thailand|2018-08-24	E.6
MK040569|aedes_aegypti|thailand|2018-08-25	E.6
MZ443816|aedes_aegypti|thailand|2018-08-01	E.6
MZ443815|aedes_aegypti|thailand|2018-08-01	E.6
MZ443814|aedes_aegypti|thailand|2018-08-01	E.6
MZ443813|aedes_aegypti|thailand|2018-08-01	E.6
MK468801|homo_sapiens|thailand|2018-06-27	E.6
MN974219|homo_sapiens|thailand|2018-07-13	E.6
MN974218|homo_sapiens|thailand|2018-07-02	E.6
MN974222|homo_sapiens|thailand|2018-07-21	E.6
MN974217|homo_sapiens|thailand|2018-07-02	E.6
MN974220|homo_sapiens|thailand|2018-07-19	E.6
MN974211|homo_sapiens|thailand|2018-12-12	E.6
MN974216|homo_sapiens|thailand|2018-06-30	E.6
MN974207|homo_sapiens|thailand|2019-03-12	E.6
MN974208|homo_sapiens|thailand|2019-02-12	E.6
MN974213|homo_sapiens|thailand|2019-10-07	E.6
MN974206|homo_sapiens|thailand|2019-08-30	E.6
MN974203|homo_sapiens|thailand|2019-09-11	E.6
LC580268|homo_sapiens|thailand|2019-10-01	E.6
LC580260|homo_sapiens|thailand|2019-10-01	E.6
LC580259|homo_sapiens|thailand|2019-10-01	E.6
ON262796|homo_sapiens|thailand|2019-11-14	E.6
ON262794|homo_sapiens|thailand|2019-10-17	E.6
PP193837|homo_sapiens|thailand|2019-01-03	E.6
PP193833|homo_sapiens|thailand|2018-12-08	E.6
PP193835|homo_sapiens|thailand|2019-03-19	E.6
PP193836|homo_sapiens|thailand|2019-03-11	E.6
PP193834|homo_sapiens|thailand|2019-02-22	E.6
PP193832|homo_sapiens|thailand|2018-11-12	E.6
ON262793|homo_sapiens|thailand|2019-10-15	E.6
PP626396|homo_sapiens|thailand|2018-01-01	E.6
PP626395|homo_sapiens|thailand|2018-01-01	E.6
OR037309|homo_sapiens|china|2019-01-01	E.6
OR037307|homo_sapiens|china|2019-01-01	E.6
PV022119|homo_sapiens|china|2019-01-01	E.6
MT495608|homo_sapiens|thailand|2019-11-06	E.6
LC664157|homo_sapiens|thailand|2020-06-29	E.6
PP501553||china|2019-01-01	E.6
MN974212|homo_sapiens|thailand|2019-07-08	E.6
MN974205|homo_sapiens|thailand|2019-07-24	E.6
MN974209|homo_sapiens|thailand|2019-10-07	E.6
LC580263|homo_sapiens|thailand|2019-10-01	E.6
PV879492|homo_sapiens|china|2019-01-01	E.6
PP193843|homo_sapiens|thailand|2019-04-08	E.6
MN974223|homo_sapiens|thailand|2018-07-21	E.6
MN075150|homo_sapiens|finland|2019-02-01	E.6
MN075149|homo_sapiens|finland|2019-02-01	E.6
MN974221|homo_sapiens|thailand|2018-07-19	E.6
PP626397|homo_sapiens|thailand|2018-01-01	E.6
PP193842|homo_sapiens|thailand|2019-03-26	E.6
PP193839|homo_sapiens|thailand|2019-03-12	E.6
PP193840|homo_sapiens|thailand|2019-03-12	E.6
PP193841|homo_sapiens|thailand|2019-03-20	E.6
PP193838|homo_sapiens|thailand|2019-03-11	E.6
LC580262|homo_sapiens|thailand|2019-10-01	E.6
OL979156|homo_sapiens|cambodia|2020-11-16	E.6
OL979155|homo_sapiens|cambodia|2020-11-18	E.6
OL893107|homo_sapiens|cambodia|2020-10-14	E.6
OL979157|homo_sapiens|cambodia|2020-11-02	E.6
OL893105|homo_sapiens|cambodia|2020-10-06	E.6
OL979154|homo_sapiens|cambodia|2020-12-07	E.6
OL979153|homo_sapiens|cambodia|2020-12-24	E.6
OL741630|homo_sapiens|cambodia|2020-07-23	E.6
OL705486|homo_sapiens|cambodia|2020-07-15	E.6
PV022123|homo_sapiens|china|2020-01-01	E.6
PV022120|homo_sapiens|china|2019-01-01	E.6
PQ637683|homo_sapiens|thailand|2021-02-03	E.6
PQ637677|homo_sapiens|thailand|2020-08-14	E.6
ON262795|homo_sapiens|thailand|2019-11-07	E.6
PP626398|homo_sapiens|thailand|2018-01-01	E.6
LC580269|homo_sapiens|thailand|2019-10-01	E.6
OL999095|homo_sapiens|cambodia|2021-05-24	E.6
OL999094|homo_sapiens|cambodia|2021-03-05	E.6
OL999092|homo_sapiens|cambodia|2021-02-12	E.6
OL999091|homo_sapiens|cambodia|2020-12-25	E.6
OL999093|homo_sapiens|cambodia|2021-02-24	E.6
OL849991|homo_sapiens|cambodia|2020-09-28	E.6
OL893106|homo_sapiens|cambodia|2020-10-09	E.6
OL849990|homo_sapiens|cambodia|2020-09-22	E.6
OL589270|homo_sapiens|cambodia|2020-07-01	E.6
LC664159|homo_sapiens|thailand|2020-08-04	E.6
LC664158|homo_sapiens|thailand|2020-07-21	E.6
PQ637682|homo_sapiens|thailand|2021-01-22	E.6
PQ637684|homo_sapiens|thailand|2021-03-18	E.6
PQ637681|homo_sapiens|thailand|2020-12-03	E.6
MW349426|homo_sapiens|thailand|2020-10-01	E.6
PQ637679|homo_sapiens|thailand|2020-10-01	E.6
PQ637674|homo_sapiens|thailand|2020-05-15	E.6
PP236109|homo_sapiens|malaysia|2021-01-01	E.6
PP236108|homo_sapiens|malaysia|2021-01-01	E.6
PP236110|homo_sapiens|malaysia|2021-01-01	E.6
PP236107|homo_sapiens|malaysia|2021-01-01	E.6
PP236106|homo_sapiens|malaysia|2021-01-01	E.6
PP236105|homo_sapiens|malaysia|2021-01-01	E.6
OR412348|homo_sapiens|malaysia|2021-11-17	E.6
OR412347|homo_sapiens|malaysia|2021-12-24	E.6
MW557661|homo_sapiens|malaysia|2020-09-03	E.6
MW557660|homo_sapiens|malaysia|2020-09-01	E.6
PX569504|homo_sapiens|malaysia|2019-10-01	E.6
PX569503|homo_sapiens|malaysia|2019-10-01	E.6
PX569502|homo_sapiens|malaysia|2019-10-01	E.6
PX569501|homo_sapiens|malaysia|2019-10-01	E.6
MN974224|homo_sapiens|thailand|2019-09-06	E.6
MK468608|homo_sapiens|bangladesh|2017-06-17	E.6
MK468619|homo_sapiens|bangladesh|2017-07-08	E.6
LC580243|homo_sapiens|bangladesh|2017-09-01	E.6
LC580254|homo_sapiens|bangladesh|2017-11-01	E.6
OR037305|homo_sapiens|china|2017-01-01	E.6
MF773566|homo_sapiens|bangladesh|2017-01-01	E.6
MH400249|homo_sapiens|china|2017-08-23	E.6
MK468627|homo_sapiens|bangladesh|2017-09-18	E.6
MK468620|homo_sapiens|bangladesh|2017-07-11	E.6
MK468615|homo_sapiens|bangladesh|2017-07-10	E.6
LC580253|homo_sapiens|bangladesh|2017-11-01	E.6
MK468621|homo_sapiens|bangladesh|2017-07-18	E.6
MK468617|homo_sapiens|bangladesh|2017-06-21	E.6
LC580252|homo_sapiens|bangladesh|2017-10-01	E.6
LC580245|homo_sapiens|bangladesh|2017-09-01	E.6
MK468622|homo_sapiens|bangladesh|2017-08-31	E.6
MK468616|homo_sapiens|bangladesh|2017-06-19	E.6
MK468613|homo_sapiens|bangladesh|2017-06-24	E.6
MK468610|homo_sapiens|bangladesh|2017-11-22	E.6
LC580255|homo_sapiens|bangladesh|2017-12-01	E.6
LC580250|homo_sapiens|bangladesh|2017-10-01	E.6
MK468618|homo_sapiens|bangladesh|2017-06-29	E.6
LC580248|homo_sapiens|bangladesh|2017-10-01	E.6
LC580242|homo_sapiens|bangladesh|2017-09-01	E.6
LC580241|homo_sapiens|bangladesh|2017-09-01	E.6
LC580238|homo_sapiens|bangladesh|2017-07-01	E.6
MH647208|homo_sapiens|singapore|2017-06-01	E.6
LC580239|homo_sapiens|bangladesh|2017-07-01	E.6
MK468614|homo_sapiens|bangladesh|2017-07-10	E.6
MK468626|homo_sapiens|bangladesh|2017-06-17	E.6
MK468612|homo_sapiens|bangladesh|2017-06-17	E.6
MK468609|homo_sapiens|bangladesh|2017-06-19	E.6
LC580251|homo_sapiens|bangladesh|2017-10-01	E.6
MG912993|homo_sapiens|china|2017-08-30	E.6
LC580246|homo_sapiens|bangladesh|2017-09-01	E.6
LC580247|homo_sapiens|bangladesh|2017-09-01	E.6
LC580244|homo_sapiens|bangladesh|2017-09-01	E.6
MT123010|homo_sapiens|china|2017-09-01	E.6
MT123009|homo_sapiens|china|2017-09-01	E.6
MT123008|homo_sapiens|china|2017-09-01	E.6
MK468611|homo_sapiens|bangladesh|2017-05-31	E.6
LC580249|homo_sapiens|bangladesh|2017-10-01	E.6
LC580237|homo_sapiens|bangladesh|2017-07-01	E.6
LC580236|homo_sapiens|bangladesh|2017-07-01	E.6
LC580240|homo_sapiens|bangladesh|2017-08-01	E.6
MK120198|homo_sapiens|italy|2017-08-02	E.6.1
MK120197|homo_sapiens|italy|2017-08-02	E.6.1
MK120200|homo_sapiens|italy|2017-08-09	E.6.1
MK120199|homo_sapiens|italy|2017-08-02	E.6.1
MK120196|homo_sapiens|italy|2017-09-30	E.6.1
MK120195|homo_sapiens|italy|2017-09-27	E.6.1
MK120194|aedes_albopictus|italy|2017-09-27	E.6.1
MG049915|homo_sapiens|italy|2017-01-01	E.6.1
MH507158|homo_sapiens|italy|2017-01-01	E.6.1
MH754507|aedes_albopictus|italy|2017-09-08	E.6.1
LC259094|homo_sapiens|angola|2016-05-11	F
MT636916|aedes_albopictus|democratic_republic_of_the_congo|2019-03-26	F
MT636915|aedes_albopictus|democratic_republic_of_the_congo|2019-03-26	F
MT636914|aedes_albopictus|democratic_republic_of_the_congo|2019-03-26	F
MT636913|homo_sapiens|democratic_republic_of_the_congo|2019-02-06	F
MT636912|homo_sapiens|democratic_republic_of_the_congo|2019-02-01	F
MT636919|aedes_albopictus|democratic_republic_of_the_congo|2019-03-20	F
MT636921|aedes_albopictus|democratic_republic_of_the_congo|2019-03-21	F
MT636922|aedes_albopictus|democratic_republic_of_the_congo|2019-03-22	F
MT636920|aedes_albopictus|democratic_republic_of_the_congo|2019-03-21	F
MT636918|aedes_aegypti|democratic_republic_of_the_congo|2019-02-01	F
MT636917|aedes_albopictus|democratic_republic_of_the_congo|2019-03-21	F
MT636911|homo_sapiens|democratic_republic_of_the_congo|2019-01-21	F
MT636909|homo_sapiens|democratic_republic_of_the_congo|2019-01-21	F
MT636908|homo_sapiens|democratic_republic_of_the_congo|2019-01-07	F
MT636910|homo_sapiens|democratic_republic_of_the_congo|2019-01-21	F
MT636907|homo_sapiens|democratic_republic_of_the_congo|2019-01-07	F
MK935344|homo_sapiens|republic_of_the_congo|2019-03-05	F
MK690206|homo_sapiens|republic_of_the_congo|2019-01-01	F
MK935343|homo_sapiens|republic_of_the_congo|2019-03-20	F
OR037306|homo_sapiens|china|2018-01-01	F
MT666072|homo_sapiens|cameroon|2016-10-20	G
MT666071|homo_sapiens|cameroon|2018-09-17	G
MW281311|homo_sapiens|france|2017-09-12	G
MT666073|homo_sapiens|cameroon|2018-06-28	G
PV593524|homo_sapiens|france|2024-12-23	G
PV685648|homo_sapiens|reunion|2025-02-13	G
PV685647|homo_sapiens|reunion|2025-02-04	G
PV685640|homo_sapiens|reunion|2025-01-10	G
PV685589|homo_sapiens|reunion|2025-03-06	G
PV685588|homo_sapiens|reunion|2025-01-31	G
PV685675|homo_sapiens|reunion|2025-03-13	G
PV685674|homo_sapiens|reunion|2025-03-13	G
PV685673|homo_sapiens|reunion|2025-04-04	G
PV685663|homo_sapiens|reunion|2025-03-15	G
PV685641|homo_sapiens|reunion|2024-12-18	G
PV685639|homo_sapiens|reunion|2025-02-24	G
PV685571|homo_sapiens|reunion|2025-02-19	G
PV685522|homo_sapiens|mayotte|2025-04-11	G
PV685702|homo_sapiens|reunion|2025-04-14	G
PV685643|homo_sapiens|reunion|2024-12-13	G
PV685644|homo_sapiens|reunion|2025-01-15	G
PV685642|homo_sapiens|reunion|2025-01-08	G
PV700173|homo_sapiens|france|2025-04-02	G
PV685580|homo_sapiens|reunion|2025-01-24	G
PV685579|homo_sapiens|reunion|2025-03-02	G
PV685577|homo_sapiens|reunion|2024-12-26	G
PV685578|homo_sapiens|reunion|2025-01-27	G
PV685576|homo_sapiens|reunion|2024-12-12	G
PV685669|homo_sapiens|reunion|2025-02-19	G
PV685532|homo_sapiens|mayotte|2025-03-20	G
PV685526|homo_sapiens|mayotte|2025-03-22	G
PV700174|homo_sapiens|france|2025-04-05	G
PV700175|homo_sapiens|france|2025-04-03	G
PV685657|homo_sapiens|reunion|2025-01-30	G
PV685655|homo_sapiens|reunion|2025-01-20	G
PV685656|homo_sapiens|reunion|2025-02-25	G
PV685654|homo_sapiens|reunion|2025-02-08	G
PV700162|homo_sapiens|france|2025-03-13	G
PV685637|homo_sapiens|reunion|2024-12-18	G
PV685666|homo_sapiens|reunion|2025-03-13	G
PV685658|homo_sapiens|reunion|2025-03-13	G
PV685653|homo_sapiens|reunion|2025-02-18	G
PV685677|homo_sapiens|reunion|2025-03-24	G
PV685676|homo_sapiens|reunion|2025-03-30	G
PV685652|homo_sapiens|reunion|2025-01-21	G
PV685694|homo_sapiens|reunion|2025-03-26	G
PV685650|homo_sapiens|reunion|2025-01-08	G
PV685651|homo_sapiens|reunion|2024-12-07	G
PV685649|homo_sapiens|reunion|2024-12-28	G
PV685638|homo_sapiens|reunion|2025-01-03	G
PV685636|homo_sapiens|reunion|2024-12-12	G
PV685635|homo_sapiens|reunion|2024-11-30	G
PV685595|homo_sapiens|reunion|2024-11-25	G
PV685601|homo_sapiens|reunion|2024-12-06	G
PV685634|homo_sapiens|reunion|2025-03-19	G
PV685598|homo_sapiens|reunion|2024-12-03	G
PV685619|homo_sapiens|reunion|2024-10-24	G
PV685687|homo_sapiens|reunion|2024-08-14	G
PV685631|homo_sapiens|reunion|2025-02-15	G
PV685609|homo_sapiens|reunion|2025-01-07	G
PV685686|homo_sapiens|reunion|2024-10-25	G
PV685618|homo_sapiens|reunion|2024-12-27	G
PV685603|homo_sapiens|reunion|2024-12-14	G
PV685616|homo_sapiens|reunion|2025-01-06	G
PV685623|homo_sapiens|reunion|2024-12-04	G
PV685612|homo_sapiens|reunion|2024-12-18	G
PV685605|homo_sapiens|reunion|2025-01-02	G
PV685625|homo_sapiens|reunion|2024-12-11	G
PV685608|homo_sapiens|reunion|2025-01-04	G
PV685606|homo_sapiens|reunion|2024-12-23	G
PV685682|homo_sapiens|reunion|2024-08-27	G
PV685621|homo_sapiens|reunion|2024-12-12	G
PV685611|homo_sapiens|reunion|2025-01-13	G
PV685632|homo_sapiens|reunion|2025-02-12	G
PV685617|homo_sapiens|reunion|2024-12-18	G
PV685685|homo_sapiens|reunion|2024-09-12	G
PV685628|homo_sapiens|reunion|2025-02-12	G
PV685680|homo_sapiens|reunion|2025-04-13	G
PV685596|homo_sapiens|reunion|2024-11-23	G
PV685633|homo_sapiens|reunion|2025-02-19	G
PV035814|homo_sapiens|reunion|2024-09-01	G
PV685624|homo_sapiens|reunion|2024-12-05	G
PV685599|homo_sapiens|reunion|2024-12-04	G
PV685607|homo_sapiens|reunion|2025-01-02	G
PV685626|homo_sapiens|reunion|2025-02-26	G
PV685600|homo_sapiens|reunion|2024-12-06	G
PV685602|homo_sapiens|reunion|2024-12-07	G
PV685613|homo_sapiens|reunion|2025-01-28	G
PV685597|homo_sapiens|reunion|2024-11-27	G
PV685614|homo_sapiens|reunion|2025-01-13	G
PV685620|homo_sapiens|reunion|2024-09-26	G
PV685684|homo_sapiens|reunion|2024-09-16	G
PV685604|homo_sapiens|reunion|2024-12-14	G
PV685681|homo_sapiens|reunion|2025-04-06	G
PV685610|homo_sapiens|reunion|2024-12-26	G
PV685629|homo_sapiens|reunion|2025-01-31	G
PV685615|homo_sapiens|reunion|2025-01-06	G
PV685627|homo_sapiens|reunion|2025-02-08	G
PV685679|homo_sapiens|reunion|2025-04-13	G
PV685630|homo_sapiens|reunion|2025-02-03	G
PV685622|homo_sapiens|reunion|2024-11-25	G
PV685594|homo_sapiens|reunion|2024-11-18	G
PV685672|homo_sapiens|reunion|2025-04-12	G
PV685581|homo_sapiens|reunion|2025-01-22	G
PV685525|homo_sapiens|mayotte|2025-03-29	G
PV685704|homo_sapiens|reunion|2025-03-25	G
PV685646|homo_sapiens|reunion|2025-03-18	G
PV685645|homo_sapiens|reunion|2025-03-08	G
PV700167|homo_sapiens|france|2025-03-25	G
PV700166|homo_sapiens|france|2025-03-25	G
PV700161|homo_sapiens|france|2025-02-23	G
PV685701|homo_sapiens|reunion|2025-04-09	G
PV685700|homo_sapiens|reunion|2025-03-31	G
PV685692|homo_sapiens|reunion|2025-03-30	G
PV685691|homo_sapiens|reunion|2025-03-31	G
PV685678|homo_sapiens|reunion|2025-04-12	G
PV685668|homo_sapiens|reunion|2025-01-13	G
PV685667|homo_sapiens|reunion|2025-02-10	G
PV685593|homo_sapiens|reunion|2025-03-01	G
PV685590|homo_sapiens|reunion|2025-03-22	G
PV685587|homo_sapiens|reunion|2025-03-19	G
PV685586|homo_sapiens|reunion|2025-03-05	G
PV685585|homo_sapiens|reunion|2025-02-10	G
PV685671|homo_sapiens|reunion|2025-02-17	G
PV685670|homo_sapiens|reunion|2025-03-07	G
PV685583|homo_sapiens|reunion|2025-02-26	G
PV685584|homo_sapiens|reunion|2025-02-19	G
PV685582|homo_sapiens|reunion|2025-01-24	G
PV685575|homo_sapiens|reunion|2025-03-12	G
PV685574|homo_sapiens|reunion|2025-03-06	G
PV685573|homo_sapiens|reunion|2025-03-09	G
PV685572|homo_sapiens|reunion|2025-01-20	G
PV685530|homo_sapiens|mayotte|2025-04-12	G
PV685529|homo_sapiens|mayotte|2025-03-27	G
PV685527|homo_sapiens|mayotte|2025-03-28	G
PV685556|homo_sapiens|reunion|2025-01-30	G
PV685541|homo_sapiens|reunion|2024-12-26	G
PV685535|homo_sapiens|reunion|2024-11-14	G
PV685542|homo_sapiens|reunion|2025-01-03	G
PV685553|homo_sapiens|reunion|2024-12-16	G
PV685540|homo_sapiens|reunion|2024-12-27	G
PV685557|homo_sapiens|reunion|2025-01-28	G
PV685558|homo_sapiens|reunion|2025-02-12	G
PV685536|homo_sapiens|reunion|2024-11-22	G
PV685546|homo_sapiens|reunion|2025-01-02	G
PV685534|homo_sapiens|reunion|2024-11-05	G
PV685537|homo_sapiens|reunion|2024-11-29	G
PV685555|homo_sapiens|reunion|2025-01-06	G
PV685543|homo_sapiens|reunion|2024-12-30	G
PV685539|homo_sapiens|reunion|2024-12-19	G
PV685554|homo_sapiens|reunion|2024-12-13	G
PV685547|homo_sapiens|reunion|2025-01-14	G
PV685688|homo_sapiens|reunion|2024-11-18	G
PV685552|homo_sapiens|reunion|2024-12-18	G
PV685545|homo_sapiens|reunion|2024-12-30	G
PV685549|homo_sapiens|reunion|2025-01-15	G
PV685538|homo_sapiens|reunion|2024-11-27	G
PV685551|homo_sapiens|reunion|2025-01-20	G
PV685690|homo_sapiens|reunion|2025-03-27	G
PV685548|homo_sapiens|reunion|2025-01-24	G
PV685559|homo_sapiens|reunion|2025-03-17	G
PV685550|homo_sapiens|reunion|2025-02-03	G
PV685689|homo_sapiens|reunion|2024-11-16	G
PV685544|homo_sapiens|reunion|2024-12-19	G
PV685560|homo_sapiens|reunion|2025-03-22	G
PV685524|homo_sapiens|mayotte|2025-04-01	G
PV700165|homo_sapiens|france|2025-03-23	G
PV685693|homo_sapiens|reunion|2025-03-24	G
PV685533|homo_sapiens|mayotte|2025-04-11	G
PV700163|homo_sapiens|france|2025-03-18	G
PV700160|homo_sapiens|france|2024-11-26	G
PV685699|homo_sapiens|reunion|2025-03-21	G
PV685698|homo_sapiens|reunion|2025-04-06	G
PV685706|homo_sapiens|reunion|2025-04-06	G
PV685705|homo_sapiens|reunion|2025-04-14	G
PV685697|homo_sapiens|reunion|2025-03-31	G
PV685696|homo_sapiens|reunion|2025-03-26	G
PV685570|homo_sapiens|reunion|2025-02-09	G
PV685569|homo_sapiens|reunion|2025-01-28	G
PV685568|homo_sapiens|reunion|2025-03-07	G
PV685562|homo_sapiens|reunion|2025-01-14	G
PV685564|homo_sapiens|reunion|2025-02-20	G
PV685563|homo_sapiens|reunion|2025-02-05	G
PV685565|homo_sapiens|reunion|2025-02-24	G
PV685567|homo_sapiens|reunion|2025-02-18	G
PV685566|homo_sapiens|reunion|2025-02-10	G
PV685695|homo_sapiens|reunion|2025-04-02	G
PV685561|homo_sapiens|reunion|2025-01-19	G
PV685591|homo_sapiens|reunion|2025-02-25	G
PV685592|homo_sapiens|reunion|2025-03-14	G
PV685528|homo_sapiens|mayotte|2025-03-27	G
PV685703|homo_sapiens|reunion|2025-04-07	G
PV685665|homo_sapiens|reunion|2025-03-15	G
PV685664|homo_sapiens|reunion|2025-03-05	G
PV685662|homo_sapiens|reunion|2025-03-20	G
PV685531|homo_sapiens|mayotte|2025-04-10	G
PV685659|homo_sapiens|reunion|2025-01-06	G
PV685660|homo_sapiens|reunion|2024-12-27	G
PV685661|homo_sapiens|reunion|2025-02-08	G
PV685523|homo_sapiens|mayotte|2025-04-11	G
PX216394|homo_sapiens|china|2025-07-31	G.1
PX216392|homo_sapiens|china|2025-07-24	G.1
PX216391|homo_sapiens|china|2025-07-24	G.1
PX236193|culicidae|china|2025-01-01	G.1
PX236192|culicidae|china|2025-01-01	G.1
PX236189|culicidae|china|2025-01-01	G.1
PX399443|culicidae||2025-01-01	G.1
PX236191|culicidae|china|2025-01-01	G.1
PX236190|culicidae|china|2025-01-01	G.1
PX399442|culicidae||2025-01-01	G.1
PX399441|culicidae||2025-01-01	G.1
PX399444|culicidae||2025-01-01	G.1
PX399440|culicidae||2025-01-01	G.1
PX308587|homo_sapiens|china|2025-08-01	G.1
PX308586|homo_sapiens|china|2025-08-01	G.1
PX308584|homo_sapiens|china|2025-08-01	G.1
PX308578|homo_sapiens|china|2025-08-01	G.1
PX308577|homo_sapiens|china|2025-08-01	G.1
PX308575|homo_sapiens|china|2025-08-01	G.1
PX308572|homo_sapiens|china|2025-08-01	G.1
PX308571|homo_sapiens|china|2025-08-01	G.1
PX308570|homo_sapiens|china|2025-08-01	G.1
PX216393|homo_sapiens|china|2025-07-27	G.1
PX308585|homo_sapiens|china|2025-08-01	G.1
PX308582|homo_sapiens|china|2025-08-01	G.1
PX308579|homo_sapiens|china|2025-08-01	G.1
PX308576|homo_sapiens|china|2025-08-01	G.1
PX308574|homo_sapiens|china|2025-08-01	G.1
PX308581|homo_sapiens|china|2025-08-01	G.1
PX308580|homo_sapiens|china|2025-08-01	G.1
PX308583|homo_sapiens|china|2025-08-01	G.1
PX308573|homo_sapiens|china|2025-08-01	G.1
PX308569|homo_sapiens|china|2025-08-01	G.1
ON023499|homo_sapiens|brazil|2017-04-26	H
ON023492|homo_sapiens|brazil|2017-03-17	H
ON023500|homo_sapiens|brazil|2017-04-03	H
ON023494|homo_sapiens|brazil|2017-03-23	H
ON023496|homo_sapiens|brazil|2018-01-25	H
ON023497|homo_sapiens|brazil|2017-05-26	H
ON023491|homo_sapiens|brazil|2018-01-25	H
ON023489|homo_sapiens|brazil|2018-03-22	H
ON023488|homo_sapiens|brazil|2017-05-02	H
MK159126|homo_sapiens|brazil|2016-10-10	H
MK159125|homo_sapiens|brazil|2016-10-10	H
MK159127|homo_sapiens|brazil|2016-10-10	H
MK159124|homo_sapiens|brazil|2016-10-03	H
MK159123|homo_sapiens|brazil|2016-10-03	H
MN783353|homo_sapiens|brazil|2016-10-13	H
PP336995|homo_sapiens|brazil|2016-04-28	H
OQ148649|homo_sapiens|brazil|2016-04-17	H
OQ148646|homo_sapiens|brazil|2016-03-27	H
MK993757|homo_sapiens|brazil|2016-01-13	H
MK993756|homo_sapiens|brazil|2016-01-14	H
MK993755|homo_sapiens|brazil|2016-01-14	H
OQ148650|homo_sapiens|brazil|2016-04-19	H
OQ148647|homo_sapiens|brazil|2016-03-23	H
OQ148644|homo_sapiens|brazil|2016-03-17	H
OQ148641|homo_sapiens|brazil|2016-02-16	H
OQ148645|homo_sapiens|brazil|2016-03-25	H
OQ148643|homo_sapiens|brazil|2016-03-21	H
OQ148640|homo_sapiens|brazil|2016-08-02	H
OQ148642|homo_sapiens|brazil|2016-02-29	H
OQ148633|homo_sapiens|brazil|2016-02-16	H
PP336981|homo_sapiens|brazil|2017-04-16	H
MT877211|homo_sapiens|brazil|2017-06-03	H
PP336990|homo_sapiens|brazil|2017-03-06	H
PP336988|homo_sapiens|brazil|2017-04-14	H
PP336982|homo_sapiens|brazil|2017-04-16	H
PP336980|homo_sapiens|brazil|2017-04-16	H
PP336979|homo_sapiens|brazil|2017-04-16	H
MT877208|homo_sapiens|brazil|2017-03-22	H
PP336978|homo_sapiens|brazil|2017-03-22	H
PP336975|homo_sapiens|brazil|2017-03-22	H
PP336977|homo_sapiens|brazil|2017-03-22	H
PP336976|homo_sapiens|brazil|2017-03-22	H
PP336974|homo_sapiens|brazil|2017-03-22	H
PP336973|homo_sapiens|brazil|2017-03-22	H
MH000703|homo_sapiens|brazil|2016-02-15	H
MH000702|homo_sapiens|brazil|2016-02-15	H
MH000701|homo_sapiens|brazil|2016-02-22	H
KX228391|homo_sapiens|brazil|2016-03-03	H
MH000706|homo_sapiens|brazil|2016-02-18	H
MH000705|homo_sapiens|brazil|2016-02-25	H
MH000704|homo_sapiens|brazil|2016-02-19	H
MH000700|homo_sapiens|brazil|2016-02-04	H
OQ148648|homo_sapiens|brazil|2016-09-04	H
PP337011|homo_sapiens|brazil|2016-04-08	H
PP337002|homo_sapiens|brazil|2016-04-08	H
PP336997|homo_sapiens|brazil|2016-04-28	H
PP336993|homo_sapiens|brazil|2016-04-28	H
PP336992|homo_sapiens|brazil|2016-04-09	H
MN783352|homo_sapiens|brazil|2016-04-01	H
PP337003|homo_sapiens|brazil|2016-04-08	H
MK121907|homo_sapiens|brazil|2017-02-27	H
MK121906|homo_sapiens|brazil|2017-02-27	H
MK121903|homo_sapiens|brazil|2017-03-15	H
MK121899|homo_sapiens|brazil|2017-03-17	H
MK121908|homo_sapiens|brazil|2017-03-05	H
MK121904|homo_sapiens|brazil|2017-03-02	H
MK121898|homo_sapiens|brazil|2017-02-22	H
MK121902|homo_sapiens|brazil|2017-03-17	H
MK121900|homo_sapiens|brazil|2017-03-17	H
MK121896|homo_sapiens|brazil|2017-03-03	H
KY704955|homo_sapiens|brazil|2016-06-17	H
MG000876|aedes_albopictus|haiti|2016-05-17	H
MG000875|culex_quinquefasciatus|haiti|2016-06-27	H
PP319440|homo_sapiens|haiti|2021-12-03	H
PP319439|homo_sapiens|haiti|2021-04-15	H
OQ148638|homo_sapiens|brazil|2016-11-06	H
KY704954|homo_sapiens|brazil|2016-06-20	H
OP312948|homo_sapiens|brazil|2018-04-04	H
MK244642|homo_sapiens|brazil|2018-02-18	H
MT933039|homo_sapiens|brazil|2019-05-06	H
MT933029|homo_sapiens|brazil|2019-01-21	H
OP312967|homo_sapiens|brazil|2018-05-14	H
OP312950|homo_sapiens|brazil|2018-04-05	H
OP312941|homo_sapiens|brazil|2018-03-22	H
OQ148637|homo_sapiens|brazil|2016-06-15	H
PP337013|homo_sapiens|brazil|2017-04-20	H
PP337021|homo_sapiens|brazil|2018-07-12	H
PP337020|homo_sapiens|brazil|2016-04-30	H
PP337019|homo_sapiens|brazil|2017-06-02	H
PP337012|homo_sapiens|brazil|2017-05-17	H
PP336991|homo_sapiens|brazil|2017-06-06	H
PP336987|homo_sapiens|brazil|2017-05-08	H
PP336972|homo_sapiens|brazil|2017-04-09	H
PP336970|homo_sapiens|brazil|2017-05-30	H
PP336971|homo_sapiens|brazil|2017-05-30	H
